device_id,device_type,ip_address,MAC_address,network_address,subnet_mask,default_gateway
10,notebook,my_ip,my_mac,new_address,new_subnet,new_gateway
1,notebook,test_ip,test_mac,test_network,test_subnet,test_gateway
2,switch,test_ip2,test_mac2,test_network,test_subnet,test_gateway
3,printer,iptest_3,mactest_3,test_network,test_subnet,test_gateway
4,router,357,689,test_network,test_subnet,test_gateway
6,notebook,testip,ahfd,test_network,test_subnet,test_gateway
8,notebook,neueip,neuemac,test_network,test_subnet,test_gateway
19,Peter,25,"New York",test_network,test_subnet,test_gateway
20,Jane,30,"San Francisco",test_network,test_subnet,test_gateway
21,Heinz,40,Chicago,test_network,test_subnet,test_gateway
22,Peter,25,"New York",test_network,test_subnet,test_gateway
23,Jane,30,"San Francisco",test_network,test_subnet,test_gateway
24,Heinz,40,Chicago,test_network,test_subnet,test_gateway
25,Peter,25,"New York",test_network,test_subnet,test_gateway
26,Jane,30,"San Francisco",test_network,test_subnet,test_gateway
27,Heinz,40,Chicago,test_network,test_subnet,test_gateway
28,Peter,25,"New York",test_network,test_subnet,test_gateway
29,Jane,30,"San Francisco",test_network,test_subnet,test_gateway
30,Heinz,40,Chicago,test_network,test_subnet,test_gateway
5,notebook,blablubb,blabli,vlan,test_subnet2,test_gateway_2
9,notebook,ahflöjk,lajgl,vlan,test_subnet2,test_gateway_2
